2018-05-19 14:02:38:788	1526709758788	*	*	0.0	*	*	*
2018-05-19 14:02:43:832	1526709763832	293.2655	0.738791	0.0	-0.20271848	-0.9792371	0.0
2018-05-19 14:02:48:851	1526709768851	251.12788	1.296185	0.0	-0.6845229	0.7289913	0.0
2018-05-19 14:02:53:864	1526709773864	231.00249	1.091532	0.0	-0.2465155	-0.96913886	0.0
2018-05-19 14:02:58:879	1526709778879	232.60953	1.321519	0.0	-0.20586427	-0.97858053	0.0
2018-05-19 14:03:03:893	1526709783893	225.13194	1.452001	0.0	0.13361055	0.9910339	0.0
2018-05-19 14:03:08:911	1526709788911	225.13194	1.452001	0.0	0.9153811	-0.4025885	0.0
2018-05-19 14:03:13:924	1526709793924	*	*	0.0	0.2512928	-0.9679111	0.0
2018-05-19 14:03:18:937	1526709798937	178.16617	1.094359	0.0	-0.033957954	0.99942327	0.0
2018-05-19 14:03:23:958	1526709803958	195.8211	1.055836	0.0	0.06786475	-0.9976945	0.0
2018-05-19 14:03:28:975	1526709808975	173.40282	1.249394	0.0	0.9967955	0.07999248	0.0
2018-05-19 14:03:33:985	1526709813985	163.84348	1.176898	0.0	-0.56349105	0.82612216	0.0
2018-05-19 14:03:39:006	1526709819006	171.65523	1.313673	0.0	-0.89765626	-0.44069627	0.0
2018-05-19 14:03:44:022	1526709824022	154.11072	1.300407	0.0	-0.5601136	-0.8284158	0.0
2018-05-19 14:03:49:035	1526709829035	192.6389	1.346678	0.0	0.39988154	-0.91656685	0.0
2018-05-19 14:03:54:050	1526709834050	238.6602	1.346473	0.0	-0.09257333	0.99570584	0.0
2018-05-19 14:03:59:065	1526709839065	239.3901	1.368606	0.0	-0.9394688	0.34263447	0.0
2018-05-19 14:04:04:080	1526709844080	219.47559	1.020045	0.0	-0.66431475	0.7474529	0.0
2018-05-19 14:04:09:104	1526709849104	256.19943	1.27703	0.0	0.5996143	0.8002891	0.0
2018-05-19 14:04:14:122	1526709854122	247.50142	1.078744	0.0	-0.2559414	-0.9666923	0.0
2018-05-19 14:04:19:139	1526709859139	229.77525	1.239726	0.0	0.96560687	0.26000643	0.0
2018-05-19 14:04:24:158	1526709864158	227.28079	1.123848	0.0	0.27164567	-0.96239734	0.0
2018-05-19 14:04:29:177	1526709869177	248.50357	1.563248	0.0	-0.38273984	-0.92385614	0.0
2018-05-19 14:04:34:194	1526709874194	240.66492	1.538482	0.0	-0.43623656	0.899832	0.0
2018-05-19 14:04:39:211	1526709879211	231.10341	1.099681	0.0	-0.99375576	0.11157734	0.0
2018-05-19 14:04:44:223	1526709884223	237.83199	1.280436	0.0	-0.76391387	-0.6453182	0.0
2018-05-19 14:04:49:231	1526709889231	247.21051	1.270869	0.0	-0.093817905	0.9955894	0.0
2018-05-19 14:04:54:249	1526709894249	241.03586	1.386418	0.0	-0.20961353	0.97778434	0.0
2018-05-19 14:04:59:264	1526709899264	226.90092	1.00148	0.0	-0.8548742	0.51883537	0.0
2018-05-19 14:05:04:277	1526709904277	224.10783	1.358468	0.0	0.63512087	0.7724128	0.0
2018-05-19 14:05:09:290	1526709909290	246.65468	1.017875	0.0	-0.039237294	0.9992299	0.0
2018-05-19 14:05:14:304	1526709914304	245.3114	1.159722	0.0	-0.8457556	-0.5335705	0.0
2018-05-19 14:05:19:328	1526709919328	236.44347	1.104501	0.0	0.40455464	-0.9145138	0.0
2018-05-19 14:05:24:347	1526709924347	228.72409	1.262194	0.0	0.1525443	-0.9882966	0.0
2018-05-19 14:05:29:372	1526709929372	226.93082	1.086869	0.0	-0.35974118	-0.9330521	0.0
