2018-05-19 13:32:44:473	1526707964473	*	*	0.0	*	*	*
2018-05-19 13:32:49:491	1526707969491	*	*	0.0	-0.11498914	-0.9933667	0.0
2018-05-19 13:32:54:509	1526707974509	229.63985	2.783485	0.0	-0.8860575	-0.46357533	0.0
2018-05-19 13:32:59:536	1526707979536	224.00873	2.215536	0.0	-0.8643776	-0.5028432	0.0
2018-05-19 13:33:04:564	1526707984564	251.01768	2.6116	0.0	-0.9198724	0.39221776	0.0
2018-05-19 13:33:09:587	1526707989587	232.93968	2.923933	0.0	-0.047974046	-0.99884856	0.0
2018-05-19 13:33:14:610	1526707994610	226.07353	2.524503	0.0	-0.6888711	-0.7248839	0.0
2018-05-19 13:33:19:635	1526707999635	232.82806	2.049751	0.0	-0.04346632	-0.9990549	0.0
2018-05-19 13:33:24:664	1526708004664	239.47386	2.496612	0.0	-0.5769642	-0.8167695	0.0
2018-05-19 13:33:29:692	1526708009692	235.75757	2.845583	0.0	0.4550264	0.89047796	0.0
2018-05-19 13:33:34:713	1526708014713	231.29152	2.626915	0.0	-0.83488494	-0.5504245	0.0
2018-05-19 13:33:39:734	1526708019734	231.34059	2.14298	0.0	-0.9918065	-0.12774925	0.0
2018-05-19 13:33:44:755	1526708024755	232.6135	2.323911	0.0	-0.3330577	0.94290644	0.0
2018-05-19 13:33:49:774	1526708029774	233.3579	2.524116	0.0	0.7985162	0.6019733	0.0
2018-05-19 13:33:54:794	1526708034794	235.6362	2.892661	0.0	0.5219352	-0.85298514	0.0
2018-05-19 13:33:59:816	1526708039816	236.25856	2.420027	0.0	-0.43670344	0.8996055	0.0
2018-05-19 13:34:04:840	1526708044840	230.30653	2.632403	0.0	-0.14368895	-0.9896229	0.0
2018-05-19 13:34:09:862	1526708049862	245.51985	2.376211	0.0	0.4103927	0.9119089	0.0
2018-05-19 13:34:14:891	1526708054891	258.13498	2.321777	0.0	-0.24488717	-0.96955156	0.0
2018-05-19 13:34:19:915	1526708059915	250.34622	2.543741	0.0	-0.9938724	-0.11053344	0.0
2018-05-19 13:34:24:936	1526708064936	254.42825	2.616028	0.0	-0.66262436	0.7489519	0.0
2018-05-19 13:34:29:954	1526708069954	254.20982	2.254138	0.0	-0.9900236	-0.1409015	0.0
2018-05-19 13:34:34:973	1526708074973	256.82114	2.716852	0.0	0.63225985	-0.77475643	0.0
2018-05-19 13:34:39:994	1526708079994	254.22508	2.655965	0.0	-0.19541684	0.9807203	0.0
2018-05-19 13:34:45:007	1526708085007	229.98328	1.522133	0.0	0.8886757	-0.45853627	0.0
2018-05-19 13:34:50:026	1526708090026	275.67172	2.415585	0.0	0.9309212	0.3652201	0.0
2018-05-19 13:34:55:046	1526708095046	264.4419	2.423963	0.0	0.19510785	-0.9807818	0.0
2018-05-19 13:35:00:066	1526708100066	262.09198	2.002012	0.0	-0.99027777	-0.13910404	0.0
