2018-05-19 13:46:29:288	1526708789288	*	*	0.0	*	*	*
2018-05-19 13:46:34:302	1526708794302	*	*	0.0	0.99259657	-0.121457934	0.0
2018-05-19 13:46:39:320	1526708799320	261.60165	2.62647	0.0	0.8219071	0.56962156	0.0
2018-05-19 13:46:44:339	1526708804339	228.13152	2.663882	0.0	-0.21950795	-0.97561073	0.0
2018-05-19 13:46:49:361	1526708809361	208.22202	3.089012	0.0	-0.6422916	0.76646036	0.0
2018-05-19 13:46:54:386	1526708814386	172.59822	4.877563	0.0	-0.83231103	-0.5543089	0.0
2018-05-19 13:46:59:404	1526708819404	152.21948	3.617299	0.0	-0.91417235	-0.4053257	0.0
2018-05-19 13:47:04:425	1526708824425	239.26622	4.092846	0.0	-0.6785479	-0.73455614	0.0
2018-05-19 13:47:09:442	1526708829442	236.39587	4.758909	0.0	0.2001392	-0.9797675	0.0
2018-05-19 13:47:14:457	1526708834457	237.56758	4.769936	0.0	0.29932138	-0.95415235	0.0
2018-05-19 13:47:19:470	1526708839470	234.83685	5.404016	0.0	-0.20554537	0.9786476	0.0
2018-05-19 13:47:24:485	1526708844485	233.0469	4.882583	0.0	-0.3830457	-0.9237294	0.0
2018-05-19 13:47:29:506	1526708849506	236.37491	4.344671	0.0	-0.30134356	-0.95351565	0.0
2018-05-19 13:47:34:523	1526708854523	234.48946	4.670931	0.0	-0.032611657	-0.9994681	0.0
2018-05-19 13:47:39:560	1526708859560	255.31863	4.723336	0.0	0.9319037	-0.3627057	0.0
2018-05-19 13:47:44:579	1526708864579	254.11182	4.229387	0.0	-0.044372864	0.99901503	0.0
2018-05-19 13:47:49:607	1526708869607	254.68808	4.112493	0.0	-0.15661484	0.98765975	0.0
2018-05-19 13:47:54:622	1526708874622	262.53732	4.430743	0.0	-0.08850479	0.99607575	0.0
2018-05-19 13:47:59:637	1526708879637	259.56616	3.956933	0.0	-0.24343753	0.9699166	0.0
2018-05-19 13:48:04:649	1526708884649	264.22513	3.706441	0.0	0.23021811	-0.97313905	0.0
2018-05-19 13:48:09:672	1526708889672	261.21265	3.822095	0.0	0.25335032	-0.9673746	0.0
2018-05-19 13:48:14:691	1526708894691	261.72067	3.994262	0.0	0.22328798	-0.97475255	0.0
2018-05-19 13:48:19:728	1526708899728	271.70926	4.271769	0.0	0.6689949	-0.743267	0.0
2018-05-19 13:48:24:752	1526708904752	282.9014	4.118867	0.0	0.6166374	-0.7872473	0.0
2018-05-19 13:48:29:794	1526708909794	281.02115	4.003638	0.0	-0.41306952	0.9106995	0.0
2018-05-19 13:48:34:822	1526708914822	278.96823	3.708264	0.0	-0.6535672	0.7568685	0.0
2018-05-19 13:48:39:828	1526708919828	294.79294	4.418359	0.0	-0.8164153	0.5774652	0.0
2018-05-19 13:48:44:845	1526708924845	294.24463	4.172505	0.0	0.86821353	-0.49619076	0.0
2018-05-19 13:48:49:862	1526708929862	301.5184	4.088904	0.0	0.63708955	-0.7707898	0.0
2018-05-19 13:48:54:881	1526708934881	305.0598	4.706952	0.0	-0.82580465	0.56395626	0.0
2018-05-19 13:48:59:904	1526708939904	306.24536	4.074502	0.0	0.8914349	-0.45314875	0.0
2018-05-19 13:49:04:926	1526708944926	300.45093	4.014467	0.0	0.94330376	-0.3319307	0.0
2018-05-19 13:49:09:951	1526708949951	313.05505	3.693852	0.0	-0.92136586	0.3886965	0.0
2018-05-19 13:49:14:974	1526708954974	13.372773	2.072735	0.0	0.9466703	-0.32220393	0.0
2018-05-19 13:49:19:994	1526708959994	355.3736	2.150407	0.0	0.8578619	0.5138804	0.0
2018-05-19 13:49:25:013	1526708965013	4.424989	3.530497	0.0	0.8462702	0.53275394	0.0
2018-05-19 13:49:30:040	1526708970040	12.906493	3.351287	0.0	-0.71621215	-0.69788265	0.0
2018-05-19 13:49:35:067	1526708975067	4.194252	3.649775	0.0	0.99733526	-0.07295476	0.0
2018-05-19 13:49:40:087	1526708980087	4.092346	3.756745	0.0	-0.6762966	-0.7366294	0.0
2018-05-19 13:49:45:109	1526708985109	10.757957	3.738823	0.0	-0.9308178	-0.36548358	0.0
2018-05-19 13:49:50:153	1526708990153	1.685182	3.781692	0.0	0.9423367	0.3346664	0.0
2018-05-19 13:49:55:185	1526708995185	7.459114	3.997841	0.0	0.79036385	0.6126377	0.0
2018-05-19 13:50:00:211	1526709000211	6.499029	3.710126	0.0	-0.82563126	-0.5642101	0.0
2018-05-19 13:50:05:258	1526709005258	6.565734	3.510265	0.0	-0.5070696	-0.86190516	0.0
2018-05-19 13:50:10:302	1526709010302	7.528169	3.694077	0.0	0.8924841	0.4510788	0.0
2018-05-19 13:50:15:322	1526709015322	9.290981	3.678824	0.0	0.8436529	0.536889	0.0
2018-05-19 13:50:20:347	1526709020347	5.881756	3.490614	0.0	-0.78872573	-0.61474526	0.0
2018-05-19 13:50:25:371	1526709025371	8.261611	3.465328	0.0	0.9861403	0.16591345	0.0
2018-05-19 13:50:30:405	1526709030405	3.558088	3.463874	0.0	0.718638	0.6953844	0.0
2018-05-19 13:50:35:437	1526709035437	5.899995	3.516681	0.0	0.9937665	0.11148168	0.0
2018-05-19 13:50:40:467	1526709040467	4.351327	3.030911	0.0	0.6301294	0.77649015	0.0
2018-05-19 13:50:45:510	1526709045510	30.627115	3.029068	0.0	-0.7545672	-0.6562228	0.0
2018-05-19 13:50:50:530	1526709050530	124.229	3.556736	0.0	-0.38382253	0.9234069	0.0
2018-05-19 13:50:55:560	1526709055560	130.1783	3.661235	0.0	0.9487864	-0.31591836	0.0
2018-05-19 13:51:00:588	1526709060588	119.85171	3.828669	0.0	-0.90429324	0.42691183	0.0
2018-05-19 13:51:05:627	1526709065627	103.84794	3.559639	0.0	0.89244604	-0.45115417	0.0
2018-05-19 13:51:10:656	1526709070656	104.07447	3.70284	0.0	-0.71235144	0.70182294	0.0
2018-05-19 13:51:15:690	1526709075690	92.33778	4.091078	0.0	0.6195472	-0.78495944	0.0
2018-05-19 13:51:20:727	1526709080727	92.672775	4.300306	0.0	0.59669703	-0.8024666	0.0
2018-05-19 13:51:25:771	1526709085771	88.47254	4.113767	0.0	0.7352749	-0.677769	0.0
2018-05-19 13:51:30:792	1526709090792	83.44972	3.35973	0.0	0.40616226	-0.91380095	0.0
2018-05-19 13:51:35:816	1526709095816	83.476364	3.761661	0.0	0.38803333	-0.92164534	0.0
2018-05-19 13:51:40:845	1526709100845	94.91154	4.123516	0.0	0.47176433	-0.88172466	0.0
2018-05-19 13:51:45:869	1526709105869	94.210045	3.991339	0.0	0.628815	-0.777555	0.0
2018-05-19 13:51:50:888	1526709110888	100.25444	3.957882	0.0	-0.954249	0.29901308	0.0
2018-05-19 13:51:55:908	1526709115908	100.782875	3.730525	0.0	-0.6490209	0.76077056	0.0
2018-05-19 13:52:00:935	1526709120935	104.4243	3.703039	0.0	-0.27617854	0.96110636	0.0
2018-05-19 13:52:05:957	1526709125957	114.28594	3.192078	0.0	0.6923103	-0.72159994	0.0
2018-05-19 13:52:10:977	1526709130977	131.27692	3.688383	0.0	-0.96854734	0.24882936	0.0
2018-05-19 13:52:16:001	1526709136001	125.28175	4.129736	0.0	-0.9444049	0.32878473	0.0
2018-05-19 13:52:21:021	1526709141021	120.35087	1.485106	0.0	0.9427691	-0.33344623	0.0
2018-05-19 13:52:26:046	1526709146046	132.00908	2.640035	0.0	0.5493102	-0.8356185	0.0
2018-05-19 13:52:31:072	1526709151072	133.4272	3.74623	0.0	0.72718775	-0.6864386	0.0
2018-05-19 13:52:36:111	1526709156111	127.339355	2.966131	0.0	-0.917929	0.39674473	0.0
2018-05-19 13:52:41:133	1526709161133	136.65022	1.66033	0.0	0.95843995	-0.28529438	0.0
2018-05-19 13:52:46:166	1526709166166	135.30788	1.14835	0.0	0.9297875	-0.3680967	0.0
2018-05-19 13:52:51:192	1526709171192	121.58437	0.764932	0.0	0.92172736	-0.38783848	0.0
2018-05-19 13:52:56:231	1526709176231	121.58437	0.764932	0.0	0.9680174	-0.2508831	0.0
2018-05-19 13:53:01:270	1526709181270	164.59727	0.42354	0.0	0.99742776	0.07167887	0.0
2018-05-19 13:53:06:294	1526709186294	117.63964	1.419285	0.0	-0.05716007	0.99836504	0.0
2018-05-19 13:53:11:333	1526709191333	151.49213	0.967106	0.0	0.99300504	-0.118071966	0.0
2018-05-19 13:53:16:370	1526709196370	115.16213	0.577461	0.0	0.97087055	-0.23960459	0.0
2018-05-19 13:53:21:406	1526709201406	72.84343	0.498311	0.0	-0.99511653	0.09870712	0.0
2018-05-19 13:53:26:439	1526709206439	150.61899	1.541717	0.0	-0.9996908	0.024866415	0.0
2018-05-19 13:53:31:477	1526709211477	145.80737	2.379479	0.0	0.77332455	0.6340104	0.0
2018-05-19 13:53:36:522	1526709216522	160.51321	0.589001	0.0	-0.9150846	-0.40326193	0.0
2018-05-19 13:53:41:551	1526709221551	143.19493	2.190792	0.0	-0.99358064	0.11312619	0.0
2018-05-19 13:53:46:584	1526709226584	120.605385	3.48408	0.0	0.88639426	-0.46293113	0.0
2018-05-19 13:53:51:603	1526709231603	156.92862	2.318792	0.0	-0.98117244	-0.19313376	0.0
2018-05-19 13:53:56:625	1526709236625	151.10023	2.346058	0.0	-0.99993557	-0.0113518825	0.0
2018-05-19 13:54:01:662	1526709241662	112.21372	1.15033	0.0	0.99999976	6.9053395E-4	0.0
2018-05-19 13:54:06:688	1526709246688	153.14246	3.643869	0.0	0.9539043	-0.300111	0.0
2018-05-19 13:54:11:712	1526709251712	144.03297	4.620253	0.0	-0.9874639	-0.15784499	0.0
2018-05-19 13:54:16:752	1526709256752	139.06865	3.619798	0.0	-0.97752297	0.21082896	0.0
2018-05-19 13:54:21:781	1526709261781	39.68897	3.161255	0.0	-0.94486135	0.32747066	0.0
2018-05-19 13:54:26:809	1526709266809	50.49813	3.660373	0.0	-0.54061633	-0.84126925	0.0
2018-05-19 13:54:31:832	1526709271832	51.366653	4.228267	0.0	-0.20494002	-0.97877455	0.0
2018-05-19 13:54:36:853	1526709276853	53.015728	4.610015	0.0	-0.041464724	0.99913996	0.0
2018-05-19 13:54:41:873	1526709281873	66.90744	3.723748	0.0	-0.45718464	0.8893718	0.0
2018-05-19 13:54:46:893	1526709286893	314.99542	4.351432	0.0	-0.6581543	-0.7528831	0.0
2018-05-19 13:54:51:912	1526709291912	327.64877	4.257155	0.0	-0.9749565	0.22239563	0.0
2018-05-19 13:54:56:934	1526709296934	321.43604	4.539276	0.0	-0.98317903	0.18264444	0.0
2018-05-19 13:55:01:959	1526709301959	318.8564	4.1267	0.0	-0.98079205	0.19505629	0.0
2018-05-19 13:55:06:999	1526709306999	239.22243	4.505716	0.0	-0.9307022	0.36577782	0.0
2018-05-19 13:55:12:019	1526709312019	231.85506	4.69773	0.0	-0.0066312375	0.999978	0.0
2018-05-19 13:55:17:044	1526709317044	228.63419	3.918587	0.0	-0.027178898	-0.9996306	0.0
2018-05-19 13:55:22:070	1526709322070	240.10963	3.948355	0.0	-0.37416095	0.9273638	0.0
2018-05-19 13:55:27:085	1526709327085	252.88863	0.468134	0.0	0.48583806	0.8740488	0.0
